Date,PPR,CHIRPS,PCDR
1-Jan,0.057265193,0.016141802,0.007338858
2-Jan,0,0.054760589,0.076553097
3-Jan,0,0.03131062,0.00684469
4-Jan,0,0.00771946,0.067148557
5-Jan,0,0.011040516,0.088434623
6-Jan,0,0.0156814,0.146138735
7-Jan,0.057682627,0.013339472,0.123327195
8-Jan,0,0.018164518,0.023449969
9-Jan,0,0.006160221,0.171138735
10-Jan,0,0.019266421,0.127001228
11-Jan,0,0.031829343,0.118235114
12-Jan,0.085902394,0.003023327,0.169674647
13-Jan,0.057682627,0.016724985,0.229941682
14-Jan,0.124972376,0.011675875,0.188400859
15-Jan,0,0.018127686,0.204300184
16-Jan,0.048066298,0.014395335,0.165224064
17-Jan,0,0.011721915,0.117977287
18-Jan,0.019214242,0.018977901,0.124825046
19-Jan,0,0.005518723,0.143962554
20-Jan,0,0.002271332,0.152866789
21-Jan,0.163422345,0.02747698,0.157016575
22-Jan,0,0.034647023,0.248182932
23-Jan,0.014360175,0.005042971,0.149376918
24-Jan,0.215580524,0.023732351,0.43664825
25-Jan,0,0.003001842,0.200429711
26-Jan,0,0.005463475,0.27484346
27-Jan,0,0.006635973,0.099511965
28-Jan,0,0.042403315,0.038336403
29-Jan,0,0.031319828,0.154877225
30-Jan,0,0.006292204,0.104637812
31-Jan,0,0.004318598,0.069573358
1-Feb,0,0.001286065,0.187473911
2-Feb,0,0.03791283,0.260887047
3-Feb,0,0.034926335,0.452860651
4-Feb,0,0.044800491,0.127922038
5-Feb,0,0.03704113,0.068293432
6-Feb,0,0.041896869,0.386175568
7-Feb,0,0.029536526,0.352360344
8-Feb,0,0.068600368,0.65679865
9-Feb,0.014360175,0.042154696,1.200414365
10-Feb,0.014360175,0.0072345,0.586350522
11-Feb,0,0.083839779,0.403268877
12-Feb,0.096138735,0.044168201,0.370451197
13-Feb,0.071950687,0.086430325,0.669597913
14-Feb,0.311346745,0.138637201,0.650184162
15-Feb,0.182753223,0.087194598,0.880012278
16-Feb,0.096138735,0.007200737,0.992688766
17-Feb,0,0.040472683,0.524140577
18-Feb,0,0.003907305,0.359106811
19-Feb,0,0.023075506,0.470125844
20-Feb,0,0.023124616,0.415877839
21-Feb,0,0.040847145,0.14193063
22-Feb,0.009508901,0.000454266,0.154990792
23-Feb,0,0.02038981,0.294183548
24-Feb,0.047519951,0.071421117,0.239238797
25-Feb,0,0.073474524,0.404622468
26-Feb,0,0.009868014,0.505104359
27-Feb,0,0.096034372,0.449346222
28-Feb,0,0.175368324,0.368661756
1-Mar,0,0.110233272,0.489330878
2-Mar,0,0.22364334,0.766301412
3-Mar,0.395913792,0.246012891,0.48276857
4-Mar,0,0.119383057,0.506709638
5-Mar,0,0.106896869,0.626476366
6-Mar,0,0.169892572,0.946470227
7-Mar,0,0.142823818,0.792391038
8-Mar,0,0.096000614,1.238508287
9-Mar,0,0.185518723,1.468339472
10-Mar,0.165942296,0.398014119,1.320982198
11-Mar,0.218741559,0.383621854,1.742618171
12-Mar,0,0.433192143,1.584966237
13-Mar,0,0.49437078,1.531635973
14-Mar,0.095046041,0.296758748,1.779972376
15-Mar,0.211073882,0.319404543,2.844063843
16-Mar,0.264228158,0.310555556,1.45276857
17-Mar,0.009508901,0.148146102,1.696593002
18-Mar,0.105546951,0.281949049,2.294023941
19-Mar,0.355519534,0.181135666,1.245543278
20-Mar,0.124697495,0.527286679,2.214840393
21-Mar,0.057673419,0.184889503,1.883750767
22-Mar,0,0.059260282,2.41888582
23-Mar,0,0.181964395,2.300896255
24-Mar,0.009616329,0.102753223,1.374389196
25-Mar,0,0.075696747,0.792627379
26-Mar,0,0.410481891,1.392176182
27-Mar,0.134594843,0.381273788,1.739693063
28-Mar,0.068179865,0.492722529,2.359057704
29-Mar,0.067937385,0.342259055,1.421906075
30-Mar,0.028910374,0.09563229,1.943201351
31-Mar,0,0.510273174,2.496890731
1-Apr,0.038459177,0.935273174,2.03335175
2-Apr,0.231959188,0.656672805,3.71485574
3-Apr,0.050254758,0.547363413,2.556224678
4-Apr,0.407513812,0.627105586,3.576666667
5-Apr,1.000085511,0.934171271,3.473406998
6-Apr,0.861239645,0.802655003,3.052369552
