x	y	Moy
-7.59	9.42	1506.57388888889
-7.34	9.42	1505.72611111111
-6.84	9.42	1431.35833333333
-6.59	9.42	1419.04611111111
-6.34	9.42	1368.11277777778
-7.59	9.67	1430.06666666667
-7.34	9.67	1422.87111111111
-7.09	9.67	1379.74
-6.84	9.67	1352.84111111111
-6.59	9.67	1341.29888888889
-6.34	9.67	1297.41722222222
-7.84	9.92	1392.42666666667
-7.59	9.92	1362.21
-7.34	9.92	1322.01611111111
-7.09	9.92	1284.01611111111
-6.84	9.92	1258.21055555556
-6.59	9.92	1230.97666666667
-6.34	9.92	1196.11166666667
-7.84	10.17	1339.67055555556
-7.59	10.17	1293.60388888889
-7.34	10.17	1246.66944444444
-7.09	10.17	1215.555
-6.84	10.17	1191.86611111111
-6.59	10.17	1171.53944444444
-6.34	10.17	1150.49277777778
-6.09	10.17	1141.02111111111
-5.84	10.17	1136.88444444444
-7.84	10.42	1272.22944444444
-7.59	10.42	1229.32166666667
-7.34	10.42	1189.15111111111
-7.09	10.42	1162.69055555556
-6.84	10.42	1140.35166666667
-6.59	10.42	1122.81388888889
-6.34	10.42	1108.62111111111
-6.09	10.42	1103.06666666667
-5.84	10.42	1099.36388888889
-7.84	10.67	1224.29888888889
-7.59	10.67	1179.76833333333
-7.34	10.67	1138.64444444444
-7.09	10.67	1114.73388888889
-6.84	10.67	1098.20166666667
-6.59	10.67	1084.035
-6.34	10.67	1084.36833333333
-6.09	10.67	1091.24611111111
-5.84	10.67	1091.33611111111
-5.59	10.67	1080.95555555556
-7.84	10.92	1172.18611111111
-7.59	10.92	1137.32611111111
-7.34	10.92	1111.52888888889
-7.09	10.92	1089.53277777778
-6.84	10.92	1074.36777777778
-6.59	10.92	1071.87944444444
-6.34	10.92	1079.38777777778
-6.09	10.92	1084.765
-5.84	10.92	1086.32666666667
-5.59	10.92	1083.25277777778
-5.34	10.92	1066.12888888889
-7.84	11.17	1122.88444444444
-7.59	11.17	1098.14611111111
-7.34	11.17	1079.05666666667
-7.09	11.17	1061.00722222222
-6.84	11.17	1050.74388888889
-6.59	11.17	1051.93111111111
-6.34	11.17	1060.53333333333
-6.09	11.17	1069.85166666667
-5.84	11.17	1072.16888888889
-5.59	11.17	1068.47833333333
-5.34	11.17	1052.095
-7.84	11.42	1085.45
-7.59	11.42	1064.79611111111
-7.34	11.42	1046.10833333333
-7.09	11.42	1027.79166666667
-6.84	11.42	1011.56833333333
-6.59	11.42	1012.45
-6.34	11.42	1024.92833333333
-6.09	11.42	1033.41722222222
-5.84	11.42	1034.91722222222
-5.59	11.42	1029.75
-5.34	11.42	1016.54166666667
-5.09	11.42	998.296111111111
-7.84	11.67	1045.61222222222
-7.59	11.67	1036.91666666667
-7.34	11.67	1016.46222222222
-7.09	11.67	990.320555555556
-6.84	11.67	971.53
-6.59	11.67	967.413333333333
-6.34	11.67	971.251111111111
-6.09	11.67	978.438888888889
-5.84	11.67	983.633333333333
-5.59	11.67	977.905555555556
-5.34	11.67	965.817222222222
-5.09	11.67	953.206666666667
-4.84	11.67	937.056111111111
-4.59	11.67	916.088888888889
-7.84	11.92	999.290555555556
-7.59	11.92	991.770555555556
-7.34	11.92	977.086666666667
-7.09	11.92	952.301666666667
-6.84	11.92	929.117222222222
-6.59	11.92	921.241666666667
-6.34	11.92	923.573888888889
-6.09	11.92	927.172777777778
-5.84	11.92	929.176666666667
-5.59	11.92	926.903333333333
-5.34	11.92	916.595555555556
-5.09	11.92	909.718888888889
-4.84	11.92	897.109444444444
-4.59	11.92	879.603333333333
-7.59	12.17	931.958888888889
-7.34	12.17	921.495555555555
-7.09	12.17	903.656666666667
-6.84	12.17	885.012777777778
-6.59	12.17	872.626111111111
-6.34	12.17	875.986666666667
-6.09	12.17	883.006666666667
-5.84	12.17	883.115555555556
-5.59	12.17	878.245555555556
-5.34	12.17	869.846111111111
-5.09	12.17	862.308333333333
-4.84	12.17	852.847777777778
-4.59	12.17	835.468888888889
-7.34	12.42	861.969444444444
-7.09	12.42	848.808333333333
-6.84	12.42	837.21
-6.59	12.42	830.538888888889
-6.34	12.42	832.321666666667
-6.09	12.42	837.157777777778
-5.84	12.42	836.177777777778
-5.59	12.42	829.392222222222
-5.34	12.42	822.342777777778
-5.09	12.42	811.485555555555
-4.84	12.42	803.76
-4.59	12.42	793.383333333333
-7.09	12.67	796.939444444444
-6.84	12.67	790.388333333333
-6.59	12.67	789.242222222222
-6.34	12.67	789.223888888889
-6.09	12.67	793.672222222222
-5.84	12.67	790.573888888889
-5.59	12.67	780.087777777778
-5.34	12.67	770.843888888889
-5.09	12.67	764.903888888889
-4.84	12.67	758.582222222222
-4.59	12.67	752.656111111111
-6.84	12.92	743.573333333333
-6.59	12.92	742.73
-6.34	12.92	747.185
-6.09	12.92	748.715
-5.84	12.92	745.559444444444
-5.59	12.92	732.622222222222
-5.34	12.92	718.820555555556
-5.09	12.92	712.829444444444
-4.84	12.92	711.368333333333
-4.59	12.92	712.084444444444
-4.34	12.92	707.543333333333
-6.59	13.17	694.293333333333
-6.34	13.17	697.524444444444
-6.09	13.17	701.403333333333
-5.84	13.17	699.449444444444
-5.59	13.17	688.051111111111
-5.34	13.17	677.554444444444
-5.09	13.17	665.767777777778
-4.84	13.17	664.111666666667
-4.59	13.17	663.779444444444
-4.34	13.17	665.146666666667
-6.09	13.42	655.917222222222
-5.84	13.42	652.985555555556
-5.59	13.42	645.737777777778
-5.34	13.42	632.24
-5.09	13.42	619.588888888889
-4.84	13.42	612.907777777778
-4.59	13.42	612.695
-4.34	13.42	612.687777777778
-4.09	13.42	613.319444444444
-5.84	13.67	602.46
-5.59	13.67	596.35
-4.59	13.67	562.758888888889
-4.34	13.67	561.692222222222
-4.09	13.67	564.236111111111
-3.84	13.67	568.098888888889
-4.34	13.92	520.915555555556
