x	y	Moy
-7.59	9.42	1800.70666666667
-7.34	9.42	1757.66333333333
-6.84	9.42	1637.50111111111
-6.59	9.42	1563.45111111111
-6.34	9.42	1505.61388888889
-7.59	9.67	1737.81611111111
-7.34	9.67	1697.52944444444
-7.09	9.67	1643.92666666667
-6.84	9.67	1575.43944444444
-6.59	9.67	1502.26888888889
-6.34	9.67	1441.57222222222
-7.84	9.92	1776.60444444444
-7.59	9.92	1767.95722222222
-7.34	9.92	1704.52055555556
-7.09	9.92	1611.18277777778
-6.84	9.92	1525.56777777778
-6.59	9.92	1446.57388888889
-6.34	9.92	1375.74166666667
-7.84	10.17	1751.235
-7.59	10.17	1741.36888888889
-7.34	10.17	1676.55222222222
-7.09	10.17	1582.13555555556
-6.84	10.17	1480.33666666667
-6.59	10.17	1399.42166666667
-6.34	10.17	1326.50166666667
-6.09	10.17	1248.73833333333
-5.84	10.17	1173.34555555556
-7.84	10.42	1667.96777777778
-7.59	10.42	1654.925
-7.34	10.42	1600.98333333333
-7.09	10.42	1521.80111111111
-6.84	10.42	1433.72722222222
-6.59	10.42	1357.42611111111
-6.34	10.42	1287.90833333333
-6.09	10.42	1218.02277777778
-5.84	10.42	1152.40277777778
-7.84	10.67	1612.09777777778
-7.59	10.67	1590.52388888889
-7.34	10.67	1545.43888888889
-7.09	10.67	1480.39444444444
-6.84	10.67	1402.245
-6.59	10.67	1325.40166666667
-6.34	10.67	1252.47444444444
-6.09	10.67	1191.10777777778
-5.84	10.67	1140.50444444444
-5.59	10.67	1105.61611111111
-7.84	10.92	1508.01611111111
-7.59	10.92	1494.80555555556
-7.34	10.92	1464.78444444444
-7.09	10.92	1421.50888888889
-6.84	10.92	1367.00722222222
-6.59	10.92	1301.51888888889
-6.34	10.92	1240.82
-6.09	10.92	1190.91055555556
-5.84	10.92	1158.68388888889
-5.59	10.92	1136.97833333333
-5.34	10.92	1124.63388888889
-7.84	11.17	1392.61
-7.59	11.17	1393.82611111111
-7.34	11.17	1383.255
-7.09	11.17	1361.32055555556
-6.84	11.17	1326.74111111111
-6.59	11.17	1284.28111111111
-6.34	11.17	1243.40944444444
-6.09	11.17	1215.03444444444
-5.84	11.17	1202.66222222222
-5.59	11.17	1198.30722222222
-5.34	11.17	1200.26555555556
-7.84	11.42	1292.86944444444
-7.59	11.42	1306.31444444444
-7.34	11.42	1312.23555555556
-7.09	11.42	1308.435
-6.84	11.42	1296.04944444444
-6.59	11.42	1279.66111111111
-6.34	11.42	1269.17777777778
-6.09	11.42	1269.01166666667
-5.84	11.42	1282.77611111111
-5.59	11.42	1302.63722222222
-5.34	11.42	1320.85055555556
-5.09	11.42	1330.12111111111
-7.84	11.67	1228.07
-7.59	11.67	1248.69888888889
-7.34	11.67	1264.06777777778
-7.09	11.67	1273.35555555556
-6.84	11.67	1280.94111111111
-6.59	11.67	1289.72333333333
-6.34	11.67	1310.55611111111
-6.09	11.67	1343.515
-5.84	11.67	1390.87166666667
-5.59	11.67	1436.47333333333
-5.34	11.67	1466.69333333333
-5.09	11.67	1473.11833333333
-4.84	11.67	1452.1
-4.59	11.67	1407.24388888889
-7.84	11.92	1210.06166666667
-7.59	11.92	1234.44611111111
-7.34	11.92	1253.53222222222
-7.09	11.92	1267.01
-6.84	11.92	1280.975
-6.59	11.92	1305.10611111111
-6.34	11.92	1348.56055555556
-6.09	11.92	1408.40611111111
-5.84	11.92	1478.28444444444
-5.59	11.92	1541.35222222222
-5.34	11.92	1580.54944444444
-5.09	11.92	1581.77666666667
-4.84	11.92	1546.82166666667
-4.59	11.92	1482.90555555556
-7.59	12.17	1268.46277777778
-7.34	12.17	1289.38944444444
-7.09	12.17	1299.85666666667
-6.84	12.17	1306.89333333333
-6.59	12.17	1326.18111111111
-6.34	12.17	1365.56666666667
-6.09	12.17	1429.52888888889
-5.84	12.17	1502.53611111111
-5.59	12.17	1568.54111111111
-5.34	12.17	1607.455
-5.09	12.17	1607.51
-4.84	12.17	1566.99055555556
-4.59	12.17	1501.94222222222
-7.34	12.42	1350.33944444444
-7.09	12.42	1356.44222222222
-6.84	12.42	1353.175
-6.59	12.42	1353.41444444444
-6.34	12.42	1372.83277777778
-6.09	12.42	1416.86555555556
-5.84	12.42	1472.59166666667
-5.59	12.42	1521.28777777778
-5.34	12.42	1554.53944444444
-5.09	12.42	1557.27944444444
-4.84	12.42	1527.02666666667
-4.59	12.42	1472.71888888889
-7.09	12.67	1407.07388888889
-6.84	12.67	1397.53777777778
-6.59	12.67	1386.68222222222
-6.34	12.67	1388.20944444444
-6.09	12.67	1406.86055555556
-5.84	12.67	1437.90166666667
-5.59	12.67	1464.10166666667
-5.34	12.67	1482.12666666667
-5.09	12.67	1485.57555555556
-4.84	12.67	1468.36166666667
-4.59	12.67	1434.58666666667
-6.84	12.92	1443.12166666667
-6.59	12.92	1434.83277777778
-6.34	12.92	1432.22722222222
-6.09	12.92	1438.80166666667
-5.84	12.92	1448.42388888889
-5.59	12.92	1453.54777777778
-5.34	12.92	1453.15333333333
-5.09	12.92	1449.27
-4.84	12.92	1440.22722222222
-4.59	12.92	1423.05777777778
-4.34	12.92	1393.14777777778
-6.59	13.17	1516.98333333333
-6.34	13.17	1521.72888888889
-6.09	13.17	1526.26777777778
-5.84	13.17	1523.18611111111
-5.59	13.17	1513.40944444444
-5.34	13.17	1497.14722222222
-5.09	13.17	1480.15055555556
-4.84	13.17	1467.60777777778
-4.59	13.17	1455.50277777778
-4.34	13.17	1435.60277777778
-6.09	13.42	1654.22277777778
-5.84	13.42	1651.34722222222
-5.59	13.42	1631.28833333333
-5.34	13.42	1602.80555555556
-5.09	13.42	1577.485
-4.84	13.42	1559.945
-4.59	13.42	1543.49222222222
-4.34	13.42	1519.26777777778
-4.09	13.42	1481.34555555556
-5.84	13.67	1779.93777777778
-5.59	13.67	1760.04388888889
-4.59	13.67	1672.82666666667
